title,count
Daicon Opening Animations,1
Mugen no Juunin: Immortal,3
Hachimitsu to Clover II,1
Sidonia no Kishi,1
Initial D First Stage,10
Golgo 13,2
Ookami to Koushinryou II,2
Goblin Slayer: Goblin's Crown,2
Jin-Rou,1
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,2
Kemonozume,1
Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,2
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,1
Katekyo Hitman Reborn!,1
Do S na Seitokaichou-sama ga M Note ni Shihai Saremashita.,1
Ore Monogatari!!,6
Jigoku Shoujo,1
Haikyuu!! To the Top,1
Kirameki☆Project,1
Tejina-senpai,1
Puka Puka Juju,1
